國名,治所,相對地點,方位,里程
鄯善,,南山,北,
莎車,,波河,西,
鹽澤,,敦煌,西,
鄯善,,,西北,
車師,,,西北,1890里
王治,,長安,,10150里
王治,,長安,,10150里
東界,,王都,,數千里
安息國,,宛,西,
安息,,烏孫,西,
